Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,285457562.9234314,33,40,3953,3764,1532,54,119.78787878787878,254.90114038236027,356,64,94.1,65.78480067614403,27.033790665654703,0.2557297808206289,8040818.580439393,7286670.163448305,15051228.046417236,0.0,285448874.95040894,8920277.34220028,7145071.616663003,15024425.506591797,0.0,285449244.26078796,7319211.391302256,7322359.628586299,15051228.046417236,520.2293395996094,9,12,0,0,2831,2244,0.11560387352165417,0.14012590729897476,54,1532,105.71232876712328,178.624844446345,31906.83505348095,0,0,0,21,73,0,0,0,1.2121212121212122,105.71232876712328,119.78787878787878,94.1,2831,0,0,0,0,0,0,33,3953,40,3764,255,16075,27,20,0,0,0,0,0,0,0,0,BENIGN
5353,242556531.66770935,18,0,3141,0,299,93,174.5,84.2886904236466,0,0,0.0,0.0,12.949558514890942,0.07420950438332918,14268031.274571138,38458312.761834,119827120.30410767,1012.8021240234375,242556531.66770935,14268031.274571138,38458312.761834,119827120.30410767,1012.8021240234375,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.07420950438332918,0.0,93,299,174.5,84.2886904236466,7104.583333333333,0,0,0,0,0,0,0,0,0.0,174.5,174.5,0.0,0,0,0,0,0,0,0,18,3141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
443,291003989.6965027,33,33,1812,2142,55,54,54.90909090909091,0.2874797872880344,66,54,64.9090909090909,3.449757447456414,13.587442578102632,0.22680101420201662,9093109.212815762,2918788.4148115357,10040692.567825317,1620.7695007324219,290979131.937027,9093097.873032093,2917101.249233955,10040150.880813599,22520.780563354492,290979857.68318176,9093120.55259943,2920474.60566542,10040692.567825317,1620.7695007324219,0,0,0,0,690,1020,0.11340050710100831,0.11340050710100831,54,66,59.90909090909091,5.567022142689041,30.991735537190078,0,0,0,0,66,0,0,0,1.0,59.90909090909091,54.90909090909091,64.9090909090909,690,0,0,0,0,0,0,33,1812,33,2142,253,501,30,20,0,0,0,0,0,0,0,0,BENIGN
5222,286550884.9620819,27,27,2368,2466,124,54,87.70370370370371,34.97598627504603,126,54,91.33333333333333,35.97530016861877,16.869604156482236,0.1884482053061731,11020362.092898441,11831075.578682775,29480468.98841858,123316.04957580566,286550884.9620819,11021187.883156996,11807705.590828523,29433638.334274292,241687.29782104492,286507943.8686371,11019536.302639889,11854399.437064104,29480468.98841858,123316.04957580566,13,14,0,0,1450,1548,0.09422410265308655,0.09422410265308655,54,126,89.51851851851852,35.525546749899384,1262.0644718792867,0,0,0,27,54,0,0,0,1.0,89.51851851851852,87.70370370370371,91.33333333333333,1450,0,0,0,0,0,0,27,2368,27,2466,255,398,13,20,0,0,0,0,0,0,0,0,BENIGN
443,51843420.98236084,40,45,7994,37008,1588,54,199.85,297.27306891139665,12766,58,822.4,2041.642545707854,868.0368530331253,1.6395522978493322,1249110.451663833,5408021.10868738,29652228.355407715,0.0,51843420.98236084,1329318.486727201,5569110.6916465815,29650525.093078613,0.0,51832746.505737305,1178016.9660394841,5260092.920996192,29652228.355407715,0.0,25,20,0,0,6634,35298,0.7715540225173328,0.8679982753319995,54,12766,529.435294117647,1531.304238008424,2344892.6693425598,2,2,0,45,84,0,0,0,1.125,529.435294117647,199.85,822.4,6634,0,0,0,0,0,0,40,7994,45,37008,65535,65535,25,20,0,0,0,0,0,0,0,0,BENIGN
443,209982461.9293213,17,16,956,1044,78,54,56.23529411764706,5.450627721699,70,54,65.25,4.520785330006281,9.524604967595755,0.15715598196532996,13547029.741348758,4434066.599950089,15222680.807113647,1002.0732879638672,209982461.9293213,13123903.87058258,4960493.7308825785,15120801.448822021,1002.0732879638672,209975460.05249023,13998364.00349935,3740456.913689592,15222680.807113647,7860.1837158203125,1,0,0,0,378,488,0.08095914222456392,0.07619683974076603,54,78,60.60606060606061,6.74621956510232,45.511478420569325,2,0,1,1,32,0,0,0,0.9411764705882353,60.60606060606061,56.23529411764706,65.25,378,0,0,0,0,0,0,17,956,16,1044,252,1047,15,20,0,0,0,0,0,0,0,0,BENIGN
443,60012535.33363342,5,4,296,240,78,54,59.2,9.410632284814872,66,54,60.0,6.0,8.931467351281928,0.14996866821182342,17144757.781709943,14840619.977338525,30020312.786102295,7546.901702880859,60012535.33363342,15003133.833408356,14995032.094996588,30020312.786102295,7546.901702880859,60000769.13833618,20000256.379445393,14136197.388192028,30019690.51361084,8672.952651977539,1,0,0,0,126,104,0.08331592678434634,0.06665274142747707,54,78,59.55555555555556,8.084431006036109,65.35802469135803,2,0,0,1,9,0,0,0,0.8,59.55555555555556,59.2,60.0,126,0,0,0,0,0,0,5,296,4,240,255,1047,3,20,0,0,0,0,0,0,0,0,BENIGN
443,280073520.4219818,16,8,1264,744,104,54,79.0,25.0,93,93,93.0,0.0,7.169546042676873,0.08569178537063991,25458481.485193428,19195732.28373175,40060595.989227295,57883.97789001465,280073520.4219818,18671568.028132122,19891311.105219338,39994772.19581604,57883.97789001465,280013072.25227356,40001867.46461051,33225.19131382993,40060595.989227295,39940176.96380615,8,8,0,0,720,472,0.05712785691375994,0.02856392845687997,54,104,83.66666666666667,21.452790546272116,460.22222222222223,0,0,0,16,24,0,0,0,0.5,83.66666666666667,79.0,93.0,720,0,0,0,0,0,0,16,1264,8,744,254,16385,8,20,0,0,0,0,0,0,0,0,BENIGN
443,210065392.49420166,17,17,956,1102,78,54,56.23529411764706,5.450627721699,70,54,64.82352941176471,5.271848588801901,9.796949300236621,0.1618543616171259,13126281.268894672,4951887.977781479,15025843.381881714,0.0,209984982.9673767,13124061.435461044,4958674.149958659,15025843.381881714,0.0,210056017.6372528,13128501.1023283,4945091.496444158,15024270.296096802,11991.739273071289,1,0,0,0,378,508,0.08092718080856295,0.08092718080856295,54,78,60.529411764705884,6.8695204649731645,47.19031141868512,2,0,2,1,32,0,0,0,1.0,60.529411764705884,56.23529411764706,64.82352941176471,378,0,0,0,0,0,0,17,956,17,1102,252,1047,15,20,0,0,0,0,0,0,0,0,BENIGN
443,60014127.96974182,5,5,296,314,78,54,59.2,9.410632284814872,70,58,62.8,5.878775382679627,10.164273324233793,0.1666274315448163,15001851.230859756,14996087.722713731,30018780.946731567,3582.477569580078,60010545.49217224,15002636.37304306,14996112.544128837,30018780.946731567,6438.255310058594,60004264.35470581,15001066.088676453,14996062.860150201,30017764.568328857,3582.477569580078,1,0,0,0,126,124,0.08331371577240815,0.08331371577240815,54,78,61.0,8.049844718999243,64.8,2,0,0,1,10,0,0,0,1.0,61.0,59.2,62.8,126,0,0,0,0,0,0,5,296,5,314,255,1047,3,20,0,0,0,0,0,0,0,0,BENIGN
