timestamp,src,sport,dst,dport,proto,pred
2025-11-13 22:50:36,18.97.36.9,443,192.168.1.35,53613,TCP,0
2025-11-13 22:50:36,192.168.1.35,53613,18.97.36.9,443,TCP,0
2025-11-13 22:50:39,192.168.1.35,54539,142.251.223.165,443,TCP,0
2025-11-13 22:50:39,142.251.223.165,443,192.168.1.35,54539,TCP,0
2025-11-13 22:50:39,18.161.216.127,443,192.168.1.35,61527,TCP,0
2025-11-13 22:50:39,192.168.1.35,61527,18.161.216.127,443,TCP,0
2025-11-13 22:50:42,192.168.1.35,55475,52.178.17.235,443,TCP,0
2025-11-13 22:50:42,52.178.17.235,443,192.168.1.35,55475,TCP,0
2025-11-13 22:50:44,192.168.1.35,63263,74.125.24.188,443,TCP,0
2025-11-13 22:50:44,74.125.24.188,443,192.168.1.35,63263,TCP,0
2025-11-13 22:50:46,192.168.1.35,57656,74.125.24.188,443,TCP,0
2025-11-13 22:50:46,74.125.24.188,443,192.168.1.35,57656,TCP,0
2025-11-13 22:50:53,57.144.169.33,443,192.168.1.35,59457,TCP,0
2025-11-13 22:50:53,192.168.1.35,59457,57.144.169.33,443,TCP,0
2025-11-13 22:50:56,4.186.9.165,443,192.168.1.35,58851,TCP,0
2025-11-13 22:50:57,192.168.1.35,58851,4.186.9.165,443,TCP,0
2025-11-13 22:50:59,18.97.36.72,443,192.168.1.35,58833,TCP,0
2025-11-13 22:50:59,192.168.1.35,58833,18.97.36.72,443,TCP,0
2025-11-13 22:51:01,192.168.1.35,49680,20.199.39.224,443,TCP,0
2025-11-13 22:51:01,192.168.1.2,48353,239.255.255.250,1900,UDP,0
2025-11-13 22:51:02,20.199.39.224,443,192.168.1.35,49680,TCP,0
2025-11-13 22:51:03,192.168.1.2,0,224.0.0.251,0,OTHER,0
2025-11-13 22:51:03,192.168.1.2,0,239.255.255.250,0,OTHER,0
2025-11-13 22:51:05,192.168.1.35,51099,18.97.36.8,443,TCP,0
2025-11-13 22:51:05,18.97.36.8,443,192.168.1.35,51099,TCP,0
2025-11-13 22:51:06,0.0.0.0,0,224.0.0.1,0,OTHER,0
2025-11-13 22:51:06,192.168.1.13,0,224.0.0.251,0,OTHER,0
2025-11-13 22:51:06,192.168.1.13,0,239.255.255.250,0,OTHER,0
2025-11-13 22:51:07,192.168.1.10,0,239.255.102.18,0,OTHER,0
2025-11-13 22:51:07,192.168.1.10,0,224.0.0.252,0,OTHER,0
2025-11-13 22:51:07,192.168.1.10,0,239.255.255.250,0,OTHER,0
2025-11-13 22:51:07,192.168.1.10,0,224.0.0.251,0,OTHER,0
2025-11-13 22:51:09,18.97.36.17,443,192.168.1.35,54249,TCP,0
2025-11-13 22:51:09,192.168.1.35,54249,18.97.36.17,443,TCP,0
2025-11-13 22:51:12,192.168.1.35,62620,52.45.154.252,443,TCP,0
2025-11-13 22:51:12,192.168.1.35,62704,142.250.29.94,443,TCP,0
2025-11-13 22:51:12,142.250.29.94,443,192.168.1.35,62704,TCP,0
2025-11-13 22:51:12,52.45.154.252,443,192.168.1.35,62620,TCP,0
2025-11-13 22:51:13,192.168.1.35,63724,35.169.47.173,443,TCP,0
2025-11-13 22:51:13,192.168.1.35,53203,35.169.47.173,443,TCP,0
2025-11-13 22:51:13,192.168.1.35,51054,35.169.47.173,443,TCP,0
2025-11-13 22:51:13,192.168.1.35,50491,35.169.47.173,443,TCP,0
2025-11-13 22:51:13,35.169.47.173,443,192.168.1.35,51054,TCP,0
2025-11-13 22:51:13,192.168.1.35,59069,35.169.47.173,443,TCP,0
2025-11-13 22:51:13,35.169.47.173,443,192.168.1.35,59069,TCP,0
2025-11-13 22:51:13,35.169.47.173,443,192.168.1.35,50491,TCP,0
2025-11-13 22:51:13,192.168.1.35,58828,54.163.85.238,443,TCP,0
2025-11-13 22:51:14,192.168.1.35,53888,35.169.47.173,443,TCP,0
2025-11-13 22:51:14,35.169.47.173,443,192.168.1.35,53888,TCP,0
2025-11-13 22:51:14,192.168.1.35,50854,4.213.25.242,443,TCP,0
2025-11-13 22:51:14,4.213.25.242,443,192.168.1.35,50854,TCP,0
2025-11-13 22:51:14,192.168.1.35,64491,54.163.85.238,443,TCP,0
2025-11-13 22:51:14,54.163.85.238,443,192.168.1.35,58828,TCP,0
2025-11-13 22:51:14,54.163.85.238,443,192.168.1.35,64491,TCP,0
2025-11-13 22:51:14,192.168.1.40,5353,224.0.0.251,5353,UDP,0
2025-11-13 22:51:15,192.168.1.35,50505,100.26.84.113,443,TCP,0
2025-11-13 22:51:16,35.169.47.173,443,192.168.1.35,53203,TCP,0
2025-11-13 22:51:16,100.26.84.113,443,192.168.1.35,50505,TCP,0
2025-11-13 22:51:17,192.168.1.35,54679,142.251.43.227,443,UDP,0
2025-11-13 22:51:17,142.251.43.227,443,192.168.1.35,54679,UDP,0
2025-11-13 22:51:17,192.168.1.35,53898,52.87.124.85,443,TCP,0
2025-11-13 22:51:17,52.87.124.85,443,192.168.1.35,53898,TCP,0
2025-11-13 22:51:20,35.169.47.173,443,192.168.1.35,63724,TCP,0
2025-11-13 22:51:21,192.168.1.35,50253,8.8.8.8,53,UDP,0
2025-11-13 22:51:21,192.168.1.35,56621,8.8.8.8,53,UDP,0
2025-11-13 22:51:21,8.8.8.8,53,192.168.1.35,56621,UDP,0
2025-11-13 22:51:21,192.168.1.35,57017,8.8.4.4,53,UDP,0
2025-11-13 22:51:21,8.8.4.4,53,192.168.1.35,57017,UDP,0
2025-11-13 22:51:22,192.168.1.35,64494,13.107.246.58,443,TCP,0
2025-11-13 22:51:22,13.107.246.58,443,192.168.1.35,64494,TCP,0
2025-11-13 22:51:24,192.168.1.35,53613,18.97.36.9,443,TCP,0
2025-11-13 22:51:24,18.97.36.9,443,192.168.1.35,53613,TCP,0
2025-11-13 22:51:24,192.168.1.35,54539,142.251.223.165,443,TCP,0
2025-11-13 22:51:25,142.251.223.165,443,192.168.1.35,54539,TCP,0
2025-11-13 22:51:26,52.123.128.14,443,192.168.1.35,52878,TCP,0
2025-11-13 22:51:27,192.168.1.35,55475,52.178.17.235,443,TCP,0
2025-11-13 22:51:28,52.178.17.235,443,192.168.1.35,55475,TCP,0
2025-11-13 22:51:28,192.168.1.35,54544,140.82.112.22,443,TCP,0
2025-11-13 22:51:28,192.168.1.35,59407,4.186.9.165,443,TCP,0
2025-11-13 22:51:28,4.186.9.165,443,192.168.1.35,59407,TCP,0
2025-11-13 22:51:28,140.82.112.22,443,192.168.1.35,54544,TCP,0
2025-11-13 22:51:29,192.168.1.35,63263,74.125.24.188,443,TCP,0
2025-11-13 22:51:29,74.125.24.188,443,192.168.1.35,63263,TCP,0
2025-11-13 22:51:29,142.250.29.94,443,192.168.1.35,52804,UDP,0
2025-11-13 22:51:29,192.168.1.35,52804,142.250.29.94,443,UDP,0
2025-11-13 22:51:29,192.168.1.35,53857,129.227.206.6,443,TCP,0
2025-11-13 22:51:29,129.227.206.6,443,192.168.1.35,53857,TCP,0
2025-11-13 22:51:30,192.168.1.35,57283,49.44.144.195,443,UDP,0
2025-11-13 22:51:30,49.44.144.195,443,192.168.1.35,57283,UDP,0
2025-11-13 22:51:31,192.168.1.35,59411,52.72.193.44,443,TCP,0
2025-11-13 22:51:31,192.168.1.35,59943,52.72.193.44,443,TCP,0
2025-11-13 22:51:31,52.72.193.44,443,192.168.1.35,59411,TCP,0
2025-11-13 22:51:31,52.72.193.44,443,192.168.1.35,59943,TCP,0
2025-11-13 22:51:31,192.168.1.35,57656,74.125.24.188,443,TCP,0
2025-11-13 22:51:31,74.125.24.188,443,192.168.1.35,57656,TCP,0
2025-11-13 22:51:36,4.186.9.165,443,192.168.1.35,58851,TCP,0
2025-11-13 22:51:36,192.168.1.35,58851,4.186.9.165,443,TCP,0
2025-11-13 22:51:39,192.168.1.35,53213,18.161.216.15,443,TCP,0
2025-11-13 22:51:39,18.161.216.15,443,192.168.1.35,53213,TCP,0
2025-11-13 22:51:41,192.168.1.35,137,192.168.1.1,137,UDP,0
2025-11-13 22:51:41,192.168.1.35,50692,44.207.170.235,443,TCP,0
2025-11-13 22:51:41,44.207.170.235,443,192.168.1.35,50692,TCP,0
2025-11-13 22:51:43,192.168.1.35,50320,44.207.170.235,443,TCP,0
2025-11-13 22:51:43,44.207.170.235,443,192.168.1.35,50320,TCP,0
2025-11-13 22:51:45,192.168.1.35,58833,18.97.36.72,443,TCP,0
2025-11-13 22:51:46,18.97.36.72,443,192.168.1.35,58833,TCP,0
2025-11-13 22:51:46,192.168.1.35,61890,4.213.25.242,443,TCP,0
2025-11-13 22:51:46,4.213.25.242,443,192.168.1.35,61890,TCP,0
2025-11-13 22:51:46,192.168.1.40,5353,224.0.0.251,5353,UDP,0
2025-11-13 22:51:49,192.168.1.35,51099,18.97.36.8,443,TCP,0
2025-11-13 22:51:49,18.97.36.8,443,192.168.1.35,51099,TCP,0
2025-11-13 22:51:49,192.168.1.35,61496,142.251.222.164,443,UDP,0
2025-11-13 22:51:49,142.251.222.164,443,192.168.1.35,61496,UDP,0
2025-11-13 22:51:49,192.168.1.35,60917,142.250.77.138,443,UDP,0
2025-11-13 22:51:49,192.168.1.35,57083,142.250.205.46,443,UDP,0
2025-11-13 22:51:49,142.250.77.138,443,192.168.1.35,60917,UDP,0
2025-11-13 22:51:49,142.250.205.46,443,192.168.1.35,57083,UDP,0
2025-11-13 22:51:49,192.168.1.35,55661,142.250.77.138,443,UDP,0
2025-11-13 22:51:49,142.250.77.138,443,192.168.1.35,55661,UDP,0
2025-11-13 22:51:50,192.168.1.35,62174,142.251.222.193,443,UDP,0
2025-11-13 22:51:50,142.251.222.193,443,192.168.1.35,62174,UDP,0
2025-11-13 22:51:50,192.168.1.35,63386,142.251.223.238,443,UDP,0
2025-11-13 22:51:50,142.251.223.238,443,192.168.1.35,63386,UDP,0
2025-11-13 22:51:50,192.168.1.35,58131,142.251.221.162,443,UDP,0
2025-11-13 22:51:50,142.251.221.162,443,192.168.1.35,58131,UDP,0
2025-11-13 22:51:50,192.168.1.35,49664,142.251.222.193,443,UDP,0
2025-11-13 22:51:50,142.251.222.193,443,192.168.1.35,49664,UDP,0
2025-11-13 22:51:51,192.168.1.1,0,192.168.1.35,0,OTHER,0
