timestamp,src,sport,dst,dport,proto,pkt_count,bytes,duration,pred
2025-12-16 01:06:47,192.168.1.25,55091,172.64.155.209,443,TCP,1,55,0.0,
2025-12-16 01:06:47,172.64.155.209,443,192.168.1.25,55091,TCP,1,66,0.0,
2025-12-16 01:06:48,8.8.4.4,443,192.168.1.25,63876,TCP,3,218,0.0,
2025-12-16 01:06:48,192.168.1.25,63876,8.8.4.4,443,TCP,1,54,0.0,
2025-12-16 01:06:51,192.168.1.20,5353,224.0.0.251,5353,UDP,6,1047,0.642,
2025-12-16 01:06:52,192.168.1.25,52292,8.8.8.8,53,UDP,2,145,6.883,
2025-12-16 01:06:52,192.168.1.25,52292,8.8.4.4,53,UDP,1,74,0.0,
2025-12-16 01:06:52,8.8.8.8,53,192.168.1.25,52292,UDP,2,304,6.923,
2025-12-16 01:06:53,192.168.1.25,50971,34.54.84.110,443,TCP,13,2850,0.393,
2025-12-16 01:06:53,34.54.84.110,443,192.168.1.25,50971,TCP,12,5497,0.354,
2025-12-16 01:06:53,8.8.4.4,53,192.168.1.25,52292,UDP,1,169,0.0,
2025-12-16 01:06:53,192.168.1.25,50972,49.44.144.87,443,TCP,10,3805,0.179,
2025-12-16 01:06:53,49.44.144.87,443,192.168.1.25,50972,TCP,9,9880,0.17,
2025-12-16 01:06:56,192.168.1.25,54526,4.186.14.122,443,TCP,2,159,0.075,
2025-12-16 01:06:56,4.186.14.122,443,192.168.1.25,54526,TCP,1,94,0.0,
2025-12-16 01:06:56,192.168.1.25,62293,99.86.182.15,443,TCP,1,55,0.0,
2025-12-16 01:06:56,99.86.182.15,443,192.168.1.25,62293,TCP,1,66,0.0,
2025-12-16 01:06:58,192.168.1.25,61533,8.8.8.8,53,UDP,1,74,0.0,
2025-12-16 01:06:58,192.168.1.25,61533,8.8.4.4,53,UDP,1,74,0.0,
2025-12-16 01:06:58,8.8.8.8,53,192.168.1.25,61533,UDP,1,94,0.0,
2025-12-16 01:06:58,8.8.4.4,53,192.168.1.25,61533,UDP,1,94,0.0,
2025-12-16 01:06:58,192.168.1.25,50973,172.217.24.164,443,TCP,9,2291,0.215,
2025-12-16 01:06:58,172.217.24.164,443,192.168.1.25,50973,TCP,22,36688,0.203,
2025-12-16 01:07:03,192.168.1.25,59023,8.8.8.8,53,UDP,1,74,0.0,
2025-12-16 01:07:03,192.168.1.25,59023,8.8.4.4,53,UDP,1,74,0.0,
2025-12-16 01:07:03,8.8.8.8,53,192.168.1.25,59023,UDP,1,104,0.0,
2025-12-16 01:07:03,8.8.4.4,53,192.168.1.25,59023,UDP,1,104,0.0,
2025-12-16 01:07:03,192.168.1.25,50974,20.207.73.82,443,TCP,7,2167,0.133,
2025-12-16 01:07:03,20.207.73.82,443,192.168.1.25,50974,TCP,7,4223,0.106,
2025-12-16 01:07:03,192.168.1.25,50975,20.207.73.82,443,TCP,15,2591,0.206,
2025-12-16 01:07:04,192.168.1.25,62733,104.18.32.47,443,TCP,1,55,0.0,
2025-12-16 01:07:04,104.18.32.47,443,192.168.1.25,62733,TCP,1,66,0.0,
2025-12-16 01:07:05,192.168.1.25,51003,8.8.8.8,53,UDP,1,70,0.0,
2025-12-16 01:07:05,192.168.1.25,56350,8.8.8.8,53,UDP,1,70,0.0,
